"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3JZU8UXC","preprint","2015","Deaconu, Madalina; Herrmann, Samuel; Maire, Sylvain","The walk on moving spheres: a new tool for simulating Brownian motion's exit time from a domain","","","","","http://arxiv.org/abs/1401.3695","In this paper we introduce a new method for the simulation of the exit time and exit position of a δ-dimensional Brownian motion from a domain. The main interest of our method is that it avoids splitting time schemes as well as inversion of complicated series. The method, called walk on moving spheres algorithm, was ﬁrst introduced for hitting times of Bessel processes. In this study this method is adapted and developed for the ﬁrst time for the Brownian motion hitting times. The idea is to use the connexion between the δdimensional Bessel process and the δ-dimensional Brownian motion thanks to an explicit Bessel hitting time distribution associated with a particular curved boundary. This allows to build a fast and accurate numerical scheme for approximating the hitting time. We introduce also an overview of existing methods for the simulation of the Brownian hitting time and perform numerical comparisons with existing methods.","2015-10-16","2022-09-17 18:51:56","2023-03-19 11:06:29","2022-09-17 18:51:56","","","","","","","The walk on moving spheres","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1401.3695 [math]","","C:\Users\isido\Zotero\storage\EIYVRXS7\Deaconu e.a. - 2015 - The walk on moving spheres a new tool for simulat.pdf","","monte carlo; PDE; walk on spheres","Mathematics - Probability","","","","","","","","","","","","","","","","","","","arXiv:1401.3695","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C95PBMD4","journalArticle","2022","Sawhney, Rohan; Seyb, Dario; Jarosz, Wojciech; Crane, Keenan","Grid-free Monte Carlo for PDEs with spatially varying coefficients","ACM Transactions on Graphics","","0730-0301, 1557-7368","10.1145/3528223.3530134","https://dl.acm.org/doi/10.1145/3528223.3530134","Partial differential equations (PDEs) with spatially varying coefficients arise throughout science and engineering, modeling rich heterogeneous material behavior. Yet conventional PDE solvers struggle with the immense complexity found in nature, since they must first discretize the problem---leading to spatial aliasing, and global meshing/sampling that is costly and error-prone. We describe a method that approximates neither the domain geometry, the problem data, nor the solution space, providing the exact solution (in expectation) even for problems with extremely detailed geometry and intricate coefficients. Our main contribution is to extend the               walk on spheres (WoS)               algorithm from constant- to variable-coefficient problems, by drawing on techniques from volumetric rendering. In particular, an approach inspired by               null-scattering               yields unbiased Monte Carlo estimators for a large class of 2nd order elliptic PDEs, which share many attractive features with Monte Carlo rendering: no meshing, trivial parallelism, and the ability to evaluate the solution at any point without solving a global system of equations.","2022-07","2022-09-17 18:52:00","2023-03-19 11:06:20","2022-09-17 18:52:00","1-17","","4","41","","ACM Trans. Graph.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\isido\Zotero\storage\52QDH9YB\Sawhney e.a. - 2022 - Grid-free Monte Carlo for PDEs with spatially vary.pdf","","monte carlo; PDE; walk on spheres; rendering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WNZ92QXZ","journalArticle","","Sawhney, Rohan; Crane, Keenan","Monte Carlo Geometry Processing:A Grid-Free Approach to PDE-Based Methods on Volumetric Domains","","","","","","This paper explores how core problems in PDE-based geometry processing can be efficiently and reliably solved via grid-free Monte Carlo methods. Modern geometric algorithms often need to solve Poisson-like equations on geometrically intricate domains. Conventional methods most often mesh the domain, which is both challenging and expensive for geometry with fine details or imperfections (holes, self-intersections, etc.). In contrast, gridfree Monte Carlo methods avoid mesh generation entirely, and instead just evaluate closest point queries. They hence do not discretize space, time, nor even function spaces, and provide the exact solution (in expectation) even on extremely challenging models. More broadly, they share many benefits with Monte Carlo methods from photorealistic rendering: excellent scaling, trivial parallel implementation, view-dependent evaluation, and the ability to work with any kind of geometry (including implicit or procedural descriptions). We develop a complete “black box” solver that encompasses integration, variance reduction, and visualization, and explore how it can be used for various geometry processing tasks. In particular, we consider several fundamental linear elliptic PDEs with constant coefficients on solid regions of Rn . Overall we find that Monte Carlo methods significantly broaden the horizons of geometry processing, since they easily handle problems of size and complexity that are essentially hopeless for conventional methods.","","2022-09-17 18:54:45","2023-08-03 18:36:47","","18","","4","38","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\isido\Zotero\storage\J5MXL5PE\Sawhney en Crane - Monte Carlo Geometry ProcessingA Grid-Free Approa.pdf","","monte carlo; PDE; rendering; walk on spheres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTZ3JB83","preprint","2018","Ferguson, Ryan; Green, Andrew","Deeply Learning Derivatives","","","","","http://arxiv.org/abs/1809.02233","This paper uses deep learning to value derivatives. The approach is broadly applicable, and we use a call option on a basket of stocks as an example. We show that the deep learning model is accurate and very fast, capable of producing valuations a million times faster than traditional models. We develop a methodology to randomly generate appropriate training data and explore the impact of several parameters including layer width and depth, training data quality and quantity on model speed and accuracy.","2018-10-17","2022-09-19 13:22:35","2023-03-19 11:06:00","2022-09-19 13:22:35","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1809.02233 [cs, q-fin]","","C:\Users\isido\Zotero\storage\5KLHN2WM\Ferguson en Green - 2018 - Deeply Learning Derivatives.pdf","","finance; machine learning","Computer Science - Machine Learning; Quantitative Finance - Computational Finance","","","","","","","","","","","","","","","","","","","arXiv:1809.02233","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8CL8VZC","preprint","2018","Lehtinen, Jaakko; Munkberg, Jacob; Hasselgren, Jon; Laine, Samuli; Karras, Tero; Aittala, Miika; Aila, Timo","Noise2Noise: Learning Image Restoration without Clean Data","","","","","http://arxiv.org/abs/1803.04189","We apply basic statistical reasoning to signal reconstruction by machine learning – learning to map corrupted observations to clean signals – with a simple and powerful conclusion: it is possible to learn to restore images by only looking at corrupted examples, at performance at and sometimes exceeding training using clean data, without explicit image priors or likelihood models of the corruption. In practice, we show that a single model learns photographic noise removal, denoising synthetic Monte Carlo images, and reconstruction of undersampled MRI scans – all corrupted by different processes – based on noisy data only.","2018-10-29","2022-09-19 14:04:13","2023-03-19 11:05:50","2022-09-19 14:04:13","","","","","","","Noise2Noise","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1803.04189 [cs, stat]","","C:\Users\isido\Zotero\storage\NAGQ9NY7\Lehtinen e.a. - 2018 - Noise2Noise Learning Image Restoration without Cl.pdf","","machine learning","Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1803.04189","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YTGTF5I3","webpage","2020","","Accelerating Python for Exotic Option Pricing","NVIDIA Technical Blog","","","","https://developer.nvidia.com/blog/accelerating-python-for-exotic-option-pricing/","In finance, computation efficiency can be directly converted to trading profits sometimes. Quants are facing the challenges of trading off research efficiency with computation efficiency.","2020-03-19","2022-09-19 14:08:08","2022-09-19 14:08:40","2022-09-19 14:08:08","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\isido\Zotero\storage\LNJMET6I\accelerating-python-for-exotic-option-pricing.html","","python; cupy; numba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLFA8VRN","webpage","","","GitHub - NVIDIA/fsi-samples: A collection of open-source GPU accelerated Python tools and examples for quantitative analyst tasks and leverages RAPIDS AI project, Numba, cuDF, and Dask.","","","","","https://github.com/NVIDIA/fsi-samples","","","2022-09-19 14:17:17","2022-09-19 14:17:58","2022-09-19 14:17:17","","","","","","","","","","","","","","","","","","","","","","","C:\Users\isido\Zotero\storage\FTUN9SNE\fsi-samples.html","","python; quant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQLA8IME","encyclopediaArticle","2022","","Neville's algorithm","Wikipedia","","","","https://en.wikipedia.org/w/index.php?title=Neville%27s_algorithm&oldid=1100728778","In mathematics, Neville's algorithm is an algorithm used for polynomial interpolation that was derived by the mathematician Eric Harold Neville in 1934. Given n + 1 points, there is a unique polynomial of degree ≤ n which goes through the given points. Neville's algorithm evaluates this polynomial. Neville's algorithm is based on the Newton form of the interpolating polynomial and the recursion relation for the divided differences. It is similar to Aitken's algorithm (named after Alexander Aitken), which is nowadays not used.","2022-07-27","2022-09-26 06:48:39","2022-09-26 06:49:18","2022-09-26 06:48:39","","","","","","","","","","","","","","en","Creative Commons Attribution-ShareAlike License","","","","Wikipedia","","Page Version ID: 1100728778","","C:\Users\isido\Zotero\storage\J69UYIG8\Neville's_algorithm.html","","finite differnces; interpolation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CT3DDRGG","preprint","2021","Vanroose, Wim; Cornelis, Jeffrey","Krylov-Simplex method that minimizes the residual in $\ell_1$-norm or $\ell_\infty$-norm","","","","","http://arxiv.org/abs/2101.11416","The paper presents two variants of a Krylov-Simplex iterative method that combines Krylov and simplex iterations to minimize the residual r = b−Ax. The ﬁrst method minimizes r ∞, i.e. maximum of the absolute residuals. The second minimizes r 1, and ﬁnds the solution with the least absolute residuals. Both methods search for an optimal solution xk in a Krylov subspace which results in a small linear programming problem. A specialized simplex algorithm solves this projected problem and ﬁnds the optimal linear combination of Krylov basis vectors to approximate the solution. The resulting simplex algorithm requires the solution of a series of small dense linear systems that only diﬀer by rank-one updates. The QR factorization of these matrices is updated each iteration. We demonstrate the eﬀectiveness of the methods with numerical experiments.","2021-01-27","2022-09-26 09:08:47","2023-03-19 11:04:36","2022-09-26 09:08:47","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2101.11416 [cs, math]","","C:\Users\isido\Zotero\storage\M2G9WBDA\Vanroose en Cornelis - 2021 - Krylov-Simplex method that minimizes the residual .pdf","","optimization-constrained; optimization","Mathematics - Numerical Analysis; Mathematics - Optimization and Control","","","","","","","","","","","","","","","","","","","arXiv:2101.11416","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A46LQ3HD","journalArticle","2007","Caglar, Hikmet; Caglar, Nazan","Solution of fifth order boundary value problems by using local polynomial regression","Applied Mathematics and Computation","","00963003","10.1016/j.amc.2006.08.046","https://linkinghub.elsevier.com/retrieve/pii/S0096300306010204","In this paper, we present a novel method based on the local polynomial regression for solving of ﬁfth order boundary value problems. The method is tested on numerical example to demonstrate its usefulness. The method presented in this paper is also compared with those developed by Siddiqi and Akram [Solution of ﬁfth order boundary value problems using nonpolynomial spline technique, Appl. Math. Comput. 175 (2006) 1575–1581], as well and is observed to be better.","2007-03","2022-09-26 12:57:28","2023-03-19 11:03:56","2022-09-26 12:57:28","952-956","","2","186","","Applied Mathematics and Computation","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\isido\Zotero\storage\Z8EJ5CDR\Caglar en Caglar - 2007 - Solution of fifth order boundary value problems by.pdf","","ODE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
